"1","Vingertasten en vlekken met een gevouwen microdoek klamvochtig reinigen","Vingertasten en vlekken met een gevouwen microdoek klamvochtig reinigen","1","vingertasten-en-vlekken-met-een-gevouwen-microdoek-klamvochtig-reini-gen-1677506176","1","2023-02-27 18:56:16","2023-03-15 15:04:39",\N
"5","Oppervlak met een gevouwen werkdoek klamvochtig reinigen. met chemical","Oppervlak met een gevouwen werkdoek klamvochtig reinigen. met chemical","1","oppervlak-met-een-gevouwen-werkdoek-klamvochtig-reinigen-met-chemical-1677508433","1","2023-02-27 19:33:53","2023-03-14 18:36:18",\N
"2","Vingertasten en vlekken met een  micro vezel handschoon  klamvochtig reinigen","Vingertasten en vlekken met een micro vezel handschoon  klamvochtig reining .","7","vingertasten-en-vlekken-met-een-micro-vezel-handschoon-klamvochtig-reinigen-1677506997","1","2023-02-27 19:09:57","2023-03-15 15:45:10",\N
"3","Vingertasten en vlekken met een micro vezel mop 23cm  klamvochtig reinigen","Vingertasten en vlekken met een micro vezel mop 23cm  klamvochtig reinigen alleen met water","42","vingertasten-en-vlekken-met-een-micro-vezel-mop-23cm-klamvochtig-reinigen-1677507209","1","2023-02-27 19:13:29","2023-03-15 15:48:13",\N
"4","De zonwering sluiten en atzuigen, maximale werkhoogte 2,60 m.","De zonwering sluiten en atzuigen, maximale werkhoogte 2,60 m.",\N,"de-zonwering-sluiten-en-atzuigen-maximale-werkhoogte-260-m-1677507793","1","2023-02-27 19:23:13","2023-04-27 11:33:08","2023-04-27 11:33:08"
"6","Verwijderen vingertasten en vlekken met  klemvocht micronvezel doek van draaideur, buiten","Verwijderen vingertasten en vlekken met  klemvocht micronvezel doek van draaideur, buiten","13","verwijderen-vingertasten-en-vlekken-met-klemvocht-micronvezel-doek-van-draaideur-buiten-1677730497","1","2023-03-02 09:14:57","2023-03-15 15:27:47",\N
"7","Verwijderen vingertasten en vlekken met  klemvocht micronvezel doek van draaideur, binnen","Verwijderen vingertasten en vlekken met  klemvocht micronvezel doek van draaideur, binnen","13","verwijderen-vingertasten-en-vlekken-met-klemvocht-micronvezel-doek-van-draaideur-binnen-1677730545","1","2023-03-02 09:15:45","2023-03-15 15:28:56",\N
"8","Vegen harde vloer Met bezem","Bijeenvegen van fijn en/of grof losliggend vuil en zand","27","vegen-harde-vloer-met-bezem-1677732403","1","2023-03-02 09:46:43","2023-04-27 11:30:37",\N
"9","Stofwissen harde vloer","Het stofbindend verwijderen van stof en losliggend vuil","27","stofwissen-harde-vloer-1677733263","1","2023-03-02 10:01:03","2023-04-27 11:30:58",\N
"10","Verwijderen van losliggende stof en vuil van het hele tapijtoppervlak","Verwijderen van losliggende stof en vuil van het hele tapijtoppervlak",\N,"verwijderen-van-losliggende-stof-en-vuil-van-het-hele-tapijtoppervlak-1677737486","1","2023-03-02 11:11:26","2023-04-27 11:33:16","2023-04-27 11:33:16"
